t 1 jL0300
3.0600000e-002 -7.3576346e-001 7.3576346e-001
3.0700000e-002 -7.3502843e-001 7.3502843e-001
3.0800000e-002 -7.3429413e-001 7.3429413e-001
3.0900000e-002 -7.3356057e-001 7.3356057e-001
3.1000000e-002 -7.3282775e-001 7.3282775e-001
3.1100000e-002 -7.3209565e-001 7.3209565e-001
3.1200000e-002 -7.3136429e-001 7.3136429e-001
3.1300000e-002 -7.3063365e-001 7.3063365e-001
3.1400000e-002 -7.2990375e-001 7.2990375e-001
3.1500000e-002 -7.2917457e-001 7.2917457e-001
3.1600000e-002 -7.2844613e-001 7.2844613e-001
3.1700000e-002 -7.2771841e-001 7.2771841e-001
3.1800000e-002 -7.2699142e-001 7.2699142e-001
3.1900000e-002 -7.2626515e-001 7.2626515e-001
3.2000000e-002 -7.2553961e-001 7.2553961e-001
3.2100000e-002 -7.2481480e-001 7.2481480e-001
3.2200000e-002 -7.2409071e-001 7.2409071e-001
3.2300000e-002 -7.2336734e-001 7.2336734e-001
3.2400000e-002 -7.2264470e-001 7.2264470e-001
3.2500000e-002 -7.2192277e-001 7.2192277e-001
3.2600000e-002 -7.2120157e-001 7.2120157e-001
3.2700000e-002 -7.2048109e-001 7.2048109e-001
3.2800000e-002 -7.1976133e-001 7.1976133e-001
3.2900000e-002 -7.1904229e-001 7.1904229e-001
3.3000000e-002 -7.1832396e-001 7.1832396e-001
3.3100000e-002 -7.1760636e-001 7.1760636e-001
3.3200000e-002 -7.1688947e-001 7.1688947e-001
3.3300000e-002 -7.1617329e-001 7.1617329e-001
3.3400000e-002 -7.1545784e-001 7.1545784e-001
3.3500000e-002 -7.1474309e-001 7.1474309e-001
3.3600000e-002 -7.1402906e-001 7.1402906e-001
3.3700000e-002 -7.1331575e-001 7.1331575e-001
3.3800000e-002 -7.1260314e-001 7.1260314e-001
3.3900000e-002 -7.1189125e-001 7.1189125e-001
3.4000000e-002 -7.1118007e-001 7.1118007e-001
3.4100000e-002 -7.1046960e-001 7.1046960e-001
3.4200000e-002 -7.0975984e-001 7.0975984e-001
3.4300000e-002 -7.0905079e-001 7.0905079e-001
3.4400000e-002 -7.0834245e-001 7.0834245e-001
3.4500000e-002 -7.0763482e-001 7.0763482e-001
3.4600000e-002 -7.0692789e-001 7.0692789e-001
3.4700000e-002 -7.0622167e-001 7.0622167e-001
3.4800000e-002 -7.0551615e-001 7.0551615e-001
3.4900000e-002 -7.0481134e-001 7.0481134e-001
3.5000000e-002 -7.0410723e-001 7.0410723e-001
3.5100000e-002 -7.0340383e-001 7.0340383e-001
3.5200000e-002 -7.0270113e-001 7.0270113e-001
3.5300000e-002 -7.0199913e-001 7.0199913e-001
3.5400000e-002 -7.0129783e-001 7.0129783e-001
3.5500000e-002 -7.0059723e-001 7.0059723e-001
3.5600000e-002 -6.9989734e-001 6.9989734e-001
3.5700000e-002 -6.9919814e-001 6.9919814e-001
3.5800000e-002 -6.9849964e-001 6.9849964e-001
3.5900000e-002 -6.9780184e-001 6.9780184e-001
3.6000000e-002 -6.9710473e-001 6.9710473e-001
3.6100000e-002 -6.9640832e-001 6.9640832e-001
3.6200000e-002 -6.9571261e-001 6.9571261e-001
3.6300000e-002 -6.9501759e-001 6.9501759e-001
3.6400000e-002 -6.9432327e-001 6.9432327e-001
3.6500000e-002 -6.9362964e-001 6.9362964e-001
3.6600000e-002 -6.9293670e-001 6.9293670e-001
