t 1 2 3 4 5
1.7900000e-003 3.6829849e-002 1.6155908e-001 3.6829849e-002 7.3659698e-002 3.6829849e-002
1.8000000e-003 3.8103753e-002 1.2472923e-001 3.8103753e-002 7.6207506e-002 3.8103753e-002
1.8100000e-003 3.8806966e-002 8.6625477e-002 3.8806966e-002 7.7613933e-002 3.8806966e-002
1.8200000e-003 3.8937569e-002 4.7818511e-002 3.8937569e-002 7.7875137e-002 3.8937569e-002
1.8300000e-003 3.8501965e-002 8.8809425e-003 3.8501965e-002 7.7003931e-002 3.8501965e-002
1.8400000e-003 3.7514676e-002 -2.9621023e-002 3.7514676e-002 7.5029351e-002 3.7514676e-002
1.8500000e-003 3.5998003e-002 -6.7135698e-002 3.5998003e-002 7.1996007e-002 3.5998003e-002
1.8600000e-003 3.3981602e-002 -1.0313370e-001 3.3981602e-002 6.7963204e-002 3.3981602e-002
1.8700000e-003 3.1501937e-002 -1.3711530e-001 3.1501937e-002 6.3003873e-002 3.1501937e-002
1.8800000e-003 2.8601659e-002 -1.6861724e-001 2.8601659e-002 5.7203317e-002 2.8601659e-002
1.8900000e-003 2.5328897e-002 -1.9721890e-001 2.5328897e-002 5.0657794e-002 2.5328897e-002
1.9000000e-003 2.1736481e-002 -2.2254780e-001 2.1736481e-002 4.3472962e-002 2.1736481e-002
1.9100000e-003 1.7881108e-002 -2.4428428e-001 1.7881108e-002 3.5762216e-002 1.7881108e-002
1.9200000e-003 1.3822463e-002 -2.6216539e-001 1.3822463e-002 2.7644926e-002 1.3822463e-002
1.9300000e-003 9.6223136e-003 -2.7598785e-001 9.6223136e-003 1.9244627e-002 9.6223136e-003
1.9400000e-003 5.3435821e-003 -2.8561016e-001 5.3435821e-003 1.0687164e-002 5.3435821e-003
1.9500000e-003 1.0494179e-003 -2.9095374e-001 1.0494179e-003 2.0988358e-003 1.0494179e-003
1.9600000e-003 -3.1977209e-003 -2.9200316e-001 -3.1977209e-003 -6.3954418e-003 -3.1977209e-003
1.9700000e-003 -7.3369632e-003 -2.8880544e-001 -7.3369632e-003 -1.4673926e-002 -7.3369632e-003
1.9800000e-003 -1.1309884e-002 -2.8146848e-001 -1.1309884e-002 -2.2619767e-002 -1.1309884e-002
1.9900000e-003 -1.5061314e-002 -2.7015859e-001 -1.5061314e-002 -3.0122629e-002 -1.5061314e-002
2.0000000e-003 -1.8540096e-002 -2.5509728e-001 -1.8540096e-002 -3.7080193e-002 -1.8540096e-002
2.0100000e-003 -2.1699764e-002 -2.3655718e-001 -2.1699764e-002 -4.3399529e-002 -2.1699764e-002
2.0200000e-003 -2.4499151e-002 -2.1485742e-001 -2.4499151e-002 -4.8998301e-002 -2.4499151e-002
2.0300000e-003 -2.6902906e-002 -1.9035827e-001 -2.6902906e-002 -5.3805812e-002 -2.6902906e-002
2.0400000e-003 -2.8881927e-002 -1.6345536e-001 -2.8881927e-002 -5.7763854e-002 -2.8881927e-002
2.0500000e-003 -3.0413688e-002 -1.3457344e-001 -3.0413688e-002 -6.0827376e-002 -3.0413688e-002
2.0600000e-003 -3.1482472e-002 -1.0415975e-001 -3.1482472e-002 -6.2964943e-002 -3.1482472e-002
2.0700000e-003 -3.2079498e-002 -7.2677276e-002 -3.2079498e-002 -6.4158995e-002 -3.2079498e-002
2.0800000e-003 -3.2202951e-002 -4.0597778e-002 -3.2202951e-002 -6.4405902e-002 -3.2202951e-002
2.0900000e-003 -3.1857906e-002 -8.3948269e-003 -3.1857906e-002 -6.3715811e-002 -3.1857906e-002
2.1000000e-003 -3.1056152e-002 2.3463079e-002 -3.1056152e-002 -6.2112305e-002 -3.1056152e-002
2.1100000e-003 -2.9815929e-002 5.4519231e-002 -2.9815929e-002 -5.9631859e-002 -2.9815929e-002
2.1200000e-003 -2.8161566e-002 8.4335161e-002 -2.8161566e-002 -5.6323132e-002 -2.8161566e-002
2.1300000e-003 -2.6123040e-002 1.1249673e-001 -2.6123040e-002 -5.2246080e-002 -2.6123040e-002
2.1400000e-003 -2.3735463e-002 1.3861977e-001 -2.3735463e-002 -4.7470926e-002 -2.3735463e-002
2.1500000e-003 -2.1038496e-002 1.6235523e-001 -2.1038496e-002 -4.2076993e-002 -2.1038496e-002
2.1600000e-003 -1.8075711e-002 1.8339373e-001 -1.8075711e-002 -3.6151421e-002 -1.8075711e-002
2.1700000e-003 -1.4893897e-002 2.0146944e-001 -1.4893897e-002 -2.9787794e-002 -1.4893897e-002
2.1800000e-003 -1.1542343e-002 2.1636333e-001 -1.1542343e-002 -2.3084686e-002 -1.1542343e-002
2.1900000e-003 -8.0720816e-003 2.2790568e-001 -8.0720816e-003 -1.6144163e-002 -8.0720816e-003
2.2000000e-003 -4.5351274e-003 2.3597776e-001 -4.5351274e-003 -9.0702549e-003 -4.5351274e-003
2.2100000e-003 -9.8370698e-004 2.4051288e-001 -9.8370698e-004 -1.9674140e-003 -9.8370698e-004
2.2200000e-003 2.5305002e-003 2.4149659e-001 2.5305002e-003 5.0610005e-003 2.5305002e-003
2.2300000e-003 5.9571030e-003 2.3896609e-001 5.9571030e-003 1.1914206e-002 5.9571030e-003
2.2400000e-003 9.2477101e-003 2.3300899e-001 9.2477101e-003 1.8495420e-002 9.2477101e-003
2.2500000e-003 1.2356602e-002 2.2376128e-001 1.2356602e-002 2.4713205e-002 1.2356602e-002
2.2600000e-003 1.5241357e-002 2.1140468e-001 1.5241357e-002 3.0482714e-002 1.5241357e-002
2.2700000e-003 1.7863414e-002 1.9616332e-001 1.7863414e-002 3.5726829e-002 1.7863414e-002
2.2800000e-003 2.0188581e-002 1.7829990e-001 2.0188581e-002 4.0377162e-002 2.0188581e-002
2.2900000e-003 2.2187461e-002 1.5811132e-001 2.2187461e-002 4.4374923e-002 2.2187461e-002
2.3000000e-003 2.3835815e-002 1.3592386e-001 2.3835815e-002 4.7671630e-002 2.3835815e-002
2.3100000e-003 2.5114833e-002 1.1208805e-001 2.5114833e-002 5.0229666e-002 2.5114833e-002
2.3200000e-003 2.6011331e-002 8.6973214e-002 2.6011331e-002 5.2022662e-002 2.6011331e-002
2.3300000e-003 2.6517861e-002 6.0961883e-002 2.6517861e-002 5.3035722e-002 2.6517861e-002
2.3400000e-003 2.6632733e-002 3.4444023e-002 2.6632733e-002 5.3265465e-002 2.6632733e-002
2.3500000e-003 2.6359958e-002 7.8112898e-003 2.6359958e-002 5.2719916e-002 2.6359958e-002
2.3600000e-003 2.5709109e-002 -1.8548668e-002 2.5709109e-002 5.1418217e-002 2.5709109e-002
2.3700000e-003 2.4695096e-002 -4.4257777e-002 2.4695096e-002 4.9390191e-002 2.4695096e-002
2.3800000e-003 2.3337879e-002 -6.8952873e-002 2.3337879e-002 4.6675758e-002 2.3337879e-002
2.3900000e-003 2.1662102e-002 -9.2290751e-002 2.1662102e-002 4.3324203e-002 2.1662102e-002
2.4000000e-003 1.9696667e-002 -1.1395285e-001 1.9696667e-002 3.9393335e-002 1.9696667e-002
2.4100000e-003 1.7474259e-002 -1.3364952e-001 1.7474259e-002 3.4948518e-002 1.7474259e-002
2.4200000e-003 1.5030809e-002 -1.5112378e-001 1.5030809e-002 3.0061618e-002 1.5030809e-002
2.4300000e-003 1.2404934e-002 -1.6615459e-001 1.2404934e-002 2.4809867e-002 1.2404934e-002
2.4400000e-003 9.6373329e-003 -1.7855952e-001 9.6373329e-003 1.9274666e-002 9.6373329e-003
2.4500000e-003 6.7701708e-003 -1.8819685e-001 6.7701708e-003 1.3540342e-002 6.7701708e-003
2.4600000e-003 3.8464433e-003 -1.9496703e-001 3.8464433e-003 7.6928866e-003 3.8464433e-003
