t 1 2 3 4 5 6 jL0100 jL0200 jL0300
4.1700000e-005 2.3879543e-001 -8.6239155e-001 -6.2941620e-001 -6.2941620e-001 -1.4918078e+000 -1.2530123e+000 3.0503383e-002 2.8784610e-002 -6.6858263e-002
4.2000000e-005 2.2962375e-001 -8.7071348e-001 -6.0886554e-001 -6.0886554e-001 -1.4795790e+000 -1.2499553e+000 3.0572270e-002 2.7739754e-002 -6.8502200e-002
4.2300000e-005 2.2043223e-001 -8.7871906e-001 -5.8783873e-001 -5.8783873e-001 -1.4665578e+000 -1.2461256e+000 3.0638399e-002 2.6685291e-002 -7.0089364e-002
4.2600000e-005 2.1122170e-001 -8.8640555e-001 -5.6635318e-001 -5.6635318e-001 -1.4527587e+000 -1.2415370e+000 3.0701766e-002 2.5621605e-002 -7.1618518e-002
4.2900000e-005 2.0199299e-001 -8.9377027e-001 -5.4442664e-001 -5.4442664e-001 -1.4381969e+000 -1.2362039e+000 3.0762364e-002 2.4549080e-002 -7.3088470e-002
4.3200000e-005 1.9274693e-001 -9.0081070e-001 -5.2207721e-001 -5.2207721e-001 -1.4228879e+000 -1.2301410e+000 3.0820188e-002 2.3468107e-002 -7.4498078e-002
4.3500000e-005 1.8348436e-001 -9.0752443e-001 -4.9932334e-001 -4.9932334e-001 -1.4068478e+000 -1.2233634e+000 3.0875233e-002 2.2379078e-002 -7.5846251e-002
4.3800000e-005 1.7420611e-001 -9.1390914e-001 -4.7618375e-001 -4.7618375e-001 -1.3900929e+000 -1.2158868e+000 3.0927495e-002 2.1282387e-002 -7.7131947e-002
4.4100000e-005 1.6491302e-001 -9.1996267e-001 -4.5267750e-001 -4.5267750e-001 -1.3726402e+000 -1.2077271e+000 3.0976969e-002 2.0178432e-002 -7.8354177e-002
4.4400000e-005 1.5560593e-001 -9.2568295e-001 -4.2882390e-001 -4.2882390e-001 -1.3545069e+000 -1.1989009e+000 3.1023651e-002 1.9067612e-002 -7.9512001e-002
