t 1 2 3 4 5 6 7 8 jV0100 
2.04e-07 0 4.99378 0 4.99976 0.000228133 4.99975 5 1.13181e-07 0
2.05e-07 0 4.99398 0 4.99977 0.000217269 4.99977 5 1.02891e-07 0
2.06e-07 0 4.99417 0 4.99978 0.000206923 4.99978 5 9.35376e-08 0
2.07e-07 0 4.99436 0 4.99979 0.00019707 4.99979 5 8.50342e-08 0
2.08e-07 0 4.99454 0 4.9998 0.000187686 4.9998 5 7.73038e-08 0
2.09e-07 0 4.99472 0 4.99981 0.000178748 4.99981 5 7.02762e-08 0
2.1e-07 0 4.99489 0 4.99982 0.000170236 4.99982 5 6.38875e-08 0
2.11e-07 0 4.99505 0 4.99983 0.00016213 4.99983 5 5.80795e-08 0
2.12e-07 0 4.99521 0 4.99984 0.000154409 4.99983 5 5.27996e-08 0
2.13e-07 0 4.99537 0 4.99985 0.000147057 4.99984 5 4.79996e-08 0
2.14e-07 0 4.99552 0 4.99985 0.000140054 4.99985 5 4.3636e-08 0
2.15e-07 0 4.99566 0 4.99986 0.000133385 4.99986 5 3.96691e-08 0
2.16e-07 0 4.9958 0 4.99987 0.000127033 4.99986 5 3.60628e-08 0
2.17e-07 0 4.99594 0 4.99987 0.000120984 4.99987 5 3.27844e-08 0
2.18e-07 0 4.99607 0 4.99988 0.000115223 4.99988 5 2.9804e-08 0
2.19e-07 0 4.9962 0 4.99989 0.000109736 4.99988 5 2.70945e-08 0
2.2e-07 0 4.99632 0 4.99989 0.00010451 4.99989 5 2.46314e-08 0
2.21e-07 0 4.99644 0 4.9999 9.95336e-05 4.99989 5 2.23922e-08 0
2.22e-07 0 4.99655 0 4.9999 9.47939e-05 4.9999 5 2.03565e-08 0
2.23e-07 0 4.99666 0 4.99991 9.02799e-05 4.9999 5 1.85059e-08 0
2.24e-07 0 4.99677 0 4.99991 8.59809e-05 4.99991 5 1.68236e-08 0
2.25e-07 0 4.99687 0 4.99991 8.18866e-05 4.99991 5 1.52942e-08 0
2.26e-07 0 4.99698 0 4.99992 7.79872e-05 4.99992 5 1.39038e-08 0
2.27e-07 0 4.99707 0 4.99992 7.42735e-05 4.99992 5 1.26398e-08 0
2.28e-07 0 4.99717 0 4.99993 7.07367e-05 4.99992 5 1.14907e-08 0
2.29e-07 0 4.99726 0 4.99993 6.73683e-05 4.99993 5 1.04461e-08 0
2.3e-07 0 4.99735 0 4.99993 6.41603e-05 4.99993 5 9.49646e-09 0
2.31e-07 0 4.99743 0 4.99994 6.1105e-05 4.99993 5 8.63315e-09 0
2.32e-07 0 4.99752 0 4.99994 5.81953e-05 4.99994 5 7.84832e-09 0
2.33e-07 0 4.9976 0 4.99994 5.5424e-05 4.99994 5 7.13483e-09 0
2.34e-07 0 4.99767 0 4.99994 5.27848e-05 4.99994 5 6.48621e-09 0
2.35e-07 0 4.99775 0 4.99995 5.02712e-05 4.99995 5 5.89656e-09 0
2.36e-07 0 4.99782 0 4.99995 4.78774e-05 4.99995 5 5.36051e-09 0
2.37e-07 0 4.99789 0 4.99995 4.55975e-05 4.99995 5 4.87319e-09 0
2.38e-07 0 4.99796 0 4.99995 4.34262e-05 4.99995 5 4.43017e-09 0
2.39e-07 0 4.99803 0 4.99996 4.13583e-05 4.99996 5 4.02743e-09 0
2.4e-07 0 4.99809 0 4.99996 3.93888e-05 4.99996 5 3.6613e-09 0
2.41e-07 0 4.99815 0 4.99996 3.75132e-05 4.99996 5 3.32845e-09 0
2.42e-07 0 4.99821 0 4.99996 3.57268e-05 4.99996 5 3.02587e-09 0
2.43e-07 0 4.99827 0 4.99996 3.40256e-05 4.99996 5 2.75079e-09 0
2.44e-07 0 4.99832 0 4.99997 3.24053e-05 4.99997 5 2.50072e-09 0
2.45e-07 0 4.99838 0 4.99997 3.08622e-05 4.99997 5 2.27338e-09 0
2.46e-07 0 4.99843 0 4.99997 2.93926e-05 4.99997 5 2.06671e-09 0
2.47e-07 0 4.99848 0 4.99997 2.79929e-05 4.99997 5 1.87882e-09 0
2.48e-07 0 4.99853 0 4.99997 2.66599e-05 4.99997 5 1.70802e-09 0
