t 1 2 3 4 5 6 7 8 9 10 jV0700 
0.00711 2.33411 0.00233178 4.99867 4.99933 4.99967 9.88497e-67 0 1.49421e-171 0 5 0
0.00714 2.33411 0.00233178 4.99867 4.99933 4.99967 6.58559e-70 0 9.95479e-175 0 5 0
0.00717 2.33411 0.00233178 4.99867 4.99933 4.99967 4.38747e-73 0 6.6321e-178 0 5 0
0.0072 2.33411 0.00233178 4.99867 4.99933 4.99967 2.92303e-76 0 4.41846e-181 0 5 0
0.00723 2.33411 0.00233178 4.99867 4.99933 4.99967 1.94739e-79 0 2.94367e-184 0 5 0
0.00726 2.33411 0.00233178 4.99867 4.99933 4.99967 1.29739e-82 0 1.96114e-187 0 5 0
0.00729 2.33411 0.00233178 4.99867 4.99933 4.99967 8.64353e-86 0 1.30656e-190 0 5 0
0.00732 2.33411 0.00233178 4.99867 4.99933 4.99967 5.75852e-89 0 8.70458e-194 0 5 0
0.00735 2.33411 0.00233178 4.99867 4.99933 4.99967 3.83645e-92 0 5.79919e-197 0 5 0
0.00738 2.33411 0.00233178 4.99867 4.99933 4.99967 2.55593e-95 0 3.86355e-200 0 5 0
0.00741 2.33411 0.00233178 4.99867 4.99933 4.99967 1.70282e-98 0 2.57398e-203 0 5 0
0.00744 2.33411 0.00233178 4.99867 4.99933 4.99967 1.13446e-101 0 1.71485e-206 0 5 0
0.00747 2.33411 0.00233178 4.99867 4.99933 4.99967 7.558e-105 0 1.14247e-209 0 5 0
0.0075 2.33411 0.00233178 4.99867 4.99933 4.99967 5.03531e-108 0 7.61138e-213 0 5 0
0.00753 2.66589 4.99767 0.00133228 0.000666306 0.000333195 4.99667 5 4.99667 4.99667 0.00333111 0
0.00756 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 5 5 5 2.21926e-06 0
0.00759 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 5 5 5 1.47852e-09 0
0.00762 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 5 5 5 9.85025e-13 0
0.00765 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 5 5 5 6.56246e-16 0
0.00768 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 5 5 5 4.37206e-19 0
0.00771 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 5 5 5 2.91276e-22 0
0.00774 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 5 5 5 1.94055e-25 0
0.00777 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 5 5 5 1.29284e-28 0
0.0078 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 5 5 5 8.61317e-32 0
0.00783 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 5 5 5 5.73829e-35 0
0.00786 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 5 5 5 3.82298e-38 0
