t 1 2 3 4 5 6 7 
3.6e-08 0.327273 0 4.16979 5 0 5 0
3.61e-08 0.328182 0 4.17392 5 0 5 0
3.62e-08 0.329091 0 4.17803 5 0 5 0
3.63e-08 0.33 0 4.18212 5 0 5 0
3.64e-08 0.330909 0 4.18619 5 0 5 0
3.65e-08 0.331818 0 4.19024 5 0 5 0
3.66e-08 0.332727 0 4.19427 5 0 5 0
3.67e-08 0.333636 0 4.19828 5 0 5 0
3.68e-08 0.334545 0 4.20226 5 0 5 0
3.69e-08 0.335455 0 4.20623 5 0 5 0
3.7e-08 0.336364 0 4.21018 5 0 5 0
3.71e-08 0.337273 0 4.21411 5 0 5 0
3.72e-08 0.338182 0 4.21802 5 0 5 0
3.73e-08 0.339091 0 4.22191 5 0 5 0
3.74e-08 0.34 0 4.22578 5 0 5 0
3.75e-08 0.340909 0 4.22963 5 0 5 0
3.76e-08 0.341818 0 4.23347 5 0 5 0
3.77e-08 0.342727 0 4.23728 5 0 5 0
3.78e-08 0.343636 0 4.24108 5 0 5 0
3.79e-08 0.344545 0 4.24485 5 0 5 0
3.8e-08 0.345455 0 4.24861 5 0 5 0
3.81e-08 0.346364 0 4.25235 5 0 5 0
3.82e-08 0.347273 0 4.25607 5 0 5 0
3.83e-08 0.348182 0 4.25977 5 0 5 0
3.84e-08 0.349091 0 4.26345 5 0 5 0
3.85e-08 0.35 0 4.26711 5 0 5 0
3.86e-08 0.350909 0 4.27076 5 0 5 0
3.87e-08 0.351818 0 4.27439 5 0 5 0
3.88e-08 0.352727 0 4.278 5 0 5 0
3.89e-08 0.353636 0 4.28159 5 0 5 0
3.9e-08 0.354545 0 4.28516 5 0 5 0
3.91e-08 0.355455 0 4.28872 5 0 5 0
3.92e-08 0.356364 0 4.29226 5 0 5 0
3.93e-08 0.357273 0 4.29578 5 0 5 0
3.94e-08 0.358182 0 4.29928 5 0 5 0
3.95e-08 0.359091 0 4.30277 5 0 5 0
3.96e-08 0.36 0 4.30624 5 0 5 0
3.97e-08 0.360909 0 4.30969 5 0 5 0
3.98e-08 0.361818 0 4.31313 5 0 5 0
3.99e-08 0.362727 0 4.31654 5 0 5 0
4e-08 0.363636 0 4.31994 5 0 5 0
4.01e-08 0.364545 0 4.32333 5 0 5 0
4.02e-08 0.365455 0 4.32669 5 0 5 0
4.03e-08 0.366364 0 4.33004 5 0 5 0
4.04e-08 0.367273 0 4.33338 5 0 5 0
