t 1 2 3 4 5 6 7 jV0700 
1.89e-08 2.9947 0.142605 2.94395 0.267632 0 3.05202 0 0
1.9e-08 3.00397 0.143046 2.95285 0.268441 0 3.06171 0 0
1.91e-08 3.01319 0.143485 2.96169 0.269245 0 3.07136 0 0
1.92e-08 3.02236 0.143922 2.97049 0.270044 0 3.08095 0 0
1.93e-08 3.03148 0.144356 2.97924 0.27084 0 3.0905 0 0
1.94e-08 3.04055 0.144788 2.98794 0.271631 0 3.1 0 0
1.95e-08 3.04958 0.145218 2.9966 0.272418 0 3.10945 0 0
1.96e-08 3.05855 0.145645 3.0052 0.2732 0 3.11886 0 0
1.97e-08 3.06749 0.146071 3.01376 0.273979 0 3.12822 0 0
1.98e-08 3.07637 0.146494 3.02228 0.274753 0 3.13753 0 0
1.99e-08 3.08521 0.146915 3.03075 0.275523 0 3.14679 0 0
2e-08 3.094 0.147334 3.03917 0.276288 0 3.15601 0 0
2.01e-08 3.10275 0.14775 3.04755 0.27705 0 3.16519 0 0
2.02e-08 3.11145 0.148164 3.05588 0.277807 0 3.17432 0 0
2.03e-08 3.12011 0.148577 3.06417 0.278561 0 3.1834 0 0
2.04e-08 3.12872 0.148987 3.07241 0.27931 0 3.19244 0 0
2.05e-08 3.13729 0.149395 3.0806 0.280055 0 3.20143 0 0
2.06e-08 3.14581 0.149801 3.08876 0.280796 0 3.21038 0 0
2.07e-08 3.15429 0.150204 3.09686 0.281533 0 3.21928 0 0
2.08e-08 3.16272 0.150606 3.10493 0.282266 0 3.22814 0 0
2.09e-08 3.17111 0.151005 3.11295 0.282995 0 3.23696 0 0
2.1e-08 3.17946 0.151403 3.12092 0.28372 0 3.24573 1.13737e-14 0
2.11e-08 3.18776 0.151798 3.12886 0.284442 0 3.25446 0.5 0
2.12e-08 3.19602 0.152191 3.13675 0.285159 0 3.26314 1 0
2.13e-08 3.20423 0.152583 3.1446 0.285872 0 3.27178 1.5 0
2.14e-08 3.21241 0.152972 3.1524 0.286582 0 3.28038 2 0
2.15e-08 3.22054 0.153359 3.16016 0.287288 5 3.26406 2.5 0
2.16e-08 3.22863 0.153744 3.16789 0.28799 5 3.24782 3 0
2.17e-08 3.23667 0.154127 3.17556 0.288688 5 3.23166 3.5 0
2.18e-08 3.24468 0.154508 3.1832 0.289382 5 3.21558 4 0
2.19e-08 3.25264 0.154888 3.1908 0.290072 5 3.19959 4.5 0
2.2e-08 3.26056 0.155265 3.19835 0.290759 5 3.18367 5 0
2.21e-08 3.26844 0.15564 3.20586 0.291442 5 3.16783 5 0
2.22e-08 3.27628 0.156013 3.21334 0.292122 5 3.15207 5 0
2.23e-08 3.28407 0.156385 3.22077 0.292797 5 3.13639 5 0
2.24e-08 3.29183 0.156754 3.22816 0.293469 5 3.12078 5 0
2.25e-08 3.29955 0.157121 3.23551 0.294138 5 3.10526 5 0
2.26e-08 3.30722 0.157487 3.24282 0.294802 5 3.08981 5 0
2.27e-08 3.31486 0.157851 3.2501 0.295463 5 3.07443 5 0
