t 1 2 3 4 5
0.0037900 0.001693 0.076662 0.001693 0.003385 0.001693
0.0038000 0.002755 0.074970 0.002755 0.005509 0.002755
0.0038100 0.003761 0.072215 0.003761 0.007523 0.003761
0.0038200 0.004699 0.068454 0.004699 0.009398 0.004699
0.0038300 0.005555 0.063755 0.005555 0.011110 0.005555
0.0038400 0.006318 0.058200 0.006318 0.012636 0.006318
0.0038500 0.006978 0.051882 0.006978 0.013956 0.006978
0.0038600 0.007528 0.044904 0.007528 0.015056 0.007528
0.0038700 0.007960 0.037376 0.007960 0.015921 0.007960
0.0038800 0.008271 0.029416 0.008271 0.016543 0.008271
0.0038900 0.008458 0.021145 0.008458 0.016916 0.008458
0.0039000 0.008519 0.012687 0.008519 0.017038 0.008519
0.0039100 0.008456 0.004168 0.008456 0.016912 0.008456
0.0039200 0.008271 -0.004289 0.008271 0.016543 0.008271
0.0039300 0.007970 -0.012560 0.007970 0.015939 0.007970
0.0039400 0.007556 -0.020529 0.007556 0.015113 0.007556
0.0039500 0.007040 -0.028086 0.007040 0.014080 0.007040
0.0039600 0.006429 -0.035126 0.006429 0.012858 0.006429
0.0039700 0.005733 -0.041555 0.005733 0.011467 0.005733
0.0039800 0.004965 -0.047288 0.004965 0.009930 0.004965
0.0039900 0.004136 -0.052253 0.004136 0.008271 0.004136
0.0040000 0.003259 -0.056389 0.003259 0.006517 0.003259
0.0040100 0.002347 -0.059647 0.002347 0.004694 0.002347
0.0040200 0.001414 -0.061994 0.001414 0.002829 0.001414
0.0040300 0.000475 -0.063409 0.000475 0.000950 0.000475
0.0040400 -0.000458 -0.063884 -0.000458 -0.000916 -0.000458
0.0040500 -0.001370 -0.063426 -0.001370 -0.002741 -0.001370
0.0040600 -0.002250 -0.062055 -0.002250 -0.004500 -0.002250
0.0040700 -0.003084 -0.059806 -0.003084 -0.006168 -0.003084
0.0040800 -0.003861 -0.056722 -0.003861 -0.007723 -0.003861
0.0040900 -0.004571 -0.052860 -0.004571 -0.009143 -0.004571
0.0041000 -0.005205 -0.048289 -0.005205 -0.010410 -0.005205
0.0041100 -0.005754 -0.043084 -0.005754 -0.011508 -0.005754
0.0041200 -0.006212 -0.037330 -0.006212 -0.012423 -0.006212
0.0041300 -0.006573 -0.031118 -0.006573 -0.013145 -0.006573
0.0041400 -0.006833 -0.024545 -0.006833 -0.013666 -0.006833
0.0041500 -0.006991 -0.017712 -0.006991 -0.013982 -0.006991
